,Sample ID,d15N,N%(N),C%(N),umols N (N),d15N (C),d13C,N%,C%,C:N (mass),umols N,umols C,_merge
113,WS23-139-04MC-3 5-7.5cm,4.493884734211499,0.03255859795188709,0.155042866154568,1.0550287150747826,3.964462366088464,-25.913216831243947,0.03130251066801755,0.13247946639394084,4.232231331185137,0.8969141225883144,4.428079283473744,both
114,WS23-139-04MC-3 5-7.5cm,4.496227553954359,0.027833835690207434,0.14564698955526134,1.403850462199456,3.964462366088464,-25.913216831243947,0.03130251066801755,0.13247946639394084,4.232231331185137,0.8969141225883144,4.428079283473744,both
115,WS23-139-07MC-3 0-2.5cm,5.078807293466005,0.10983796824948597,0.679151383470266,3.380673111267727,5.013150717590406,-24.958806640559065,0.11937542322971709,0.6640207669089182,5.562457907530319,1.51149224316342,9.80771389192115,both
116,WS23-139-08MC-3 15-17.5cm,4.674329132693705,0.11195582283345334,1.011608878401752,3.3717801489184374,4.845178178951604,-23.317008583834674,0.12173217147304156,0.7362563361496518,6.048165634773884,1.7142426916428528,12.094588889172755,both
117,WS23-139-06MC-3 40-42.5cm,4.77759827623656,0.08885868439227597,0.6415618555274962,2.7387629198735675,4.576414345089666,-26.718451764176343,0.0866685251536691,0.6004245147279681,6.927826609064538,1.1753761441254198,9.498805811683091,both
118,WS23-139-06MC-3 37.5-40cm,4.808742885096353,0.08252597154768981,0.6107367086038851,2.507411156938267,4.797367413484104,-26.77583628454024,0.08096769814708558,0.5427820743121233,6.703686614952392,1.0663347598228952,8.338777729502903,both
119,WS23-139-07MC-3 2.5-5cm,5.159116769089275,0.1063706836399876,0.6652302457175042,3.1406304987638025,4.916265785323362,-25.177798694539447,0.11544648638698954,0.6379786643617796,5.526185199116444,1.5227234988902065,9.816159649243401,both
120,WS23-139-07MC-3 2.5-5cm,5.159116769089275,0.1063706836399876,0.6652302457175042,3.1406304987638025,4.86706530607198,-25.142778281592918,0.11136230584702567,0.6343285231966471,5.696079282589578,1.497866731892471,9.952778260714087,both
121,WS23-139-08MC-3 5-7.5cm,4.835414677007632,0.1191322047271273,1.0729034840459104,3.7130812645358606,4.571835927655453,-23.200441836025117,0.13271096373421234,0.8075246467336834,6.084837484497197,1.7896561297862055,12.703216611773088,both
122,WS23-139-17MC-3 30-32.5cm,5.493631792415391,0.12959494515415268,1.2667923146050417,3.898486055333166,5.182613318584883,-25.372903050713735,0.14048822321576374,1.1438936890060247,8.142274582327211,1.8507142381656927,17.578436240045956,both
123,WS23-139-08MC-3 10-12.5cm,4.541139633850641,0.10766301028069081,1.0032026076526206,3.2064518943339215,4.5563002059268385,-23.457368430396183,0.11821640902096105,0.7027001406902668,5.944184453832213,1.6039798137612054,11.122087405812891,both
124,WS23-139-08MC-3 20-22.5cm,4.537737405895021,0.08672715242137478,0.9632190140171885,2.6065811613182213,4.865806074519328,-23.57044326463254,0.09748932833100661,0.5918009674775717,6.070417938138042,1.50158616420756,10.633199897750643,both
